rank,ticker,name,sector,weight
1,MSFT,MICROSOFT CORP,Information Technology,3.72705
2,AAPL,APPLE INC,Information Technology,3.37613
3,AMZN,AMAZON COM INC,Consumer Discretionary,2.92889
4,BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Financials,1.88561
5,JNJ,JOHNSON & JOHNSON,Health Care,1.64391
6,JPM,JPMORGAN CHASE & CO,Financials,1.5419
7,GOOGL,ALPHABET INC CLASS C,Communication,1.51302
8,META,FACEBOOK CLASS A  INC,Communication,1.49555
9,GOOGL,ALPHABET INC CLASS A,Communication,1.48349
10,XOM,EXXON MOBIL CORP,Energy,1.37125
11,PFE,PFIZER INC,Health Care,1.19812
12,UNH,UNITEDHEALTH GROUP INC,Health Care,1.13798
13,VZ,VERIZON COMMUNICATIONS INC,Communication,1.10336
14,V,VISA INC CLASS A,Information Technology,1.10091
15,PG,PROCTER & GAMBLE,Consumer Staples,1.08772
16,BAC,BANK OF AMERICA CORP,Financials,1.06821
17,INTC,INTEL CORPORATION CORP,Information Technology,1.01701
18,CVX,CHEVRON CORP,Energy,0.98734
19,T,AT&T INC,Communication,0.98625
20,MRK,MERCK & CO INC,Health Care,0.94378
21,WFC,WELLS FARGO,Financials,0.92727
22,CSCO,CISCO SYSTEMS INC,Information Technology,0.92498
23,HD,HOME DEPOT INC,Consumer Discretionary,0.92182
24,KO,COCA-COLA,Consumer Staples,0.86155
25,MA,MASTERCARD INC CLASS A,Information Technology,0.81383
26,BA,BOEING,Industrials,0.80866
27,DIS,WALT DISNEY,Communication,0.7753
28,PEP,PEPSICO INC,Consumer Staples,0.74072
29,CMCSA,COMCAST CORP CLASS A,Communication,0.73426
30,ABBV,ABBVIE INC,Health Care,0.65815
31,MCD,MCDONALDS CORP,Consumer Discretionary,0.64957
32,WMT,WALMART INC,Consumer Staples,0.62985
33,C,CITIGROUP INC,Financials,0.6039
34,ABT,ABBOTT LABORATORIES,Health Care,0.60338
35,AMGN,AMGEN INC,Health Care,0.58885
36,DWDP,DOWDUPONT INC,Materials,0.58274
37,MDT,MEDTRONIC PLC,Health Care,0.57999
38,NFLX,NETFLIX INC,Communication,0.55439
39,ORCL,ORACLE CORP,Information Technology,0.54621
40,MMM,3M,Industrials,0.52684
41,ADBE,ADOBE INC,Information Technology,0.5242
42,LLY,ELI LILLY,Health Care,0.51821
43,AVGO,BROADCOM INC,Information Technology,0.49904
44,CRM,SALESFORCE.COM INC,Information Technology,0.49767
45,PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0.49262
46,IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,0.49094
47,UNP,UNION PACIFIC CORP,Industrials,0.48374
48,PYPL,PAYPAL HOLDINGS INC,Information Technology,0.47104
49,HON,HONEYWELL INTERNATIONAL INC,Industrials,0.46455
50,NKE,NIKE INC CLASS B,Consumer Discretionary,0.44844
51,MO,ALTRIA GROUP INC,Consumer Staples,0.4408
52,TXN,TEXAS INSTRUMENT INC,Information Technology,0.43114
53,TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0.42791
54,ACN,ACCENTURE PLC CLASS A,Information Technology,0.4266
55,COST,COSTCO WHOLESALE CORP,Consumer Staples,0.42365
56,RTX,UNITED TECHNOLOGIES CORP,Industrials,0.41014
57,LIN,LINDE PLC,Materials,0.40841
58,BMY,BRISTOL MYERS SQUIBB,Health Care,0.40263
59,CVS,CVS HEALTH CORP,Health Care,0.40212
60,NEE,NEXTERA ENERGY INC,Utilities,0.39457
61,NVDA,NVIDIA CORP,Information Technology,0.38679
62,GILD,GILEAD SCIENCES INC,Health Care,0.38433
63,SBUX,STARBUCKS CORP,Consumer Discretionary,0.37914
64,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.37875
65,CAT,CATERPILLAR INC,Industrials,0.35561
66,LOW,LOWES COMPANIES INC,Consumer Discretionary,0.35191
67,CI,CIGNA CORP,Health Care,0.34324
68,COP,CONOCOPHILLIPS,Energy,0.3406
69,AMT,AMERICAN TOWER REIT CORP,Real Estate,0.33064
70,USB,US BANCORP,Financials,0.32949
71,QCOM,QUALCOMM INC,Information Technology,0.32765
72,ELV,ANTHEM INC,Health Care,0.32198
73,UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,0.32171
74,CME,CME GROUP INC CLASS A,Financials,0.31933
75,AXP,AMERICAN EXPRESS,Financials,0.31686
76,GE,GENERAL ELECTRIC,Industrials,0.31274
77,LMT,LOCKHEED MARTIN CORP,Industrials,0.30775
78,DHR,DANAHER CORP,Health Care,0.3021
79,DUK,DUKE ENERGY CORP,Utilities,0.29188
80,BIIB,BIOGEN INC,Health Care,0.28797
81,BDX,BECTON DICKINSON,Health Care,0.28709
82,CB,CHUBB LTD,Financials,0.28261
83,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,0.27627
84,GS,GOLDMAN SACHS GROUP INC,Financials,0.27449
85,ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,0.27261
86,TJX,TJX INC,Consumer Discretionary,0.26298
87,WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples,0.26093
88,ISRG,INTUITIVE SURGICAL INC,Health Care,0.25943
89,PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0.2563
90,SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,0.24679
91,MS,MORGAN STANLEY,Financials,0.24621
92,CL,COLGATE-PALMOLIVE,Consumer Staples,0.2453
93,INTU,INTUIT INC,Information Technology,0.24232
94,FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Communication,0.24124
95,EOG,EOG RESOURCES INC,Energy,0.2399
96,CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,0.23858
97,SLB,SCHLUMBERGER NV,Energy,0.23731
98,SCHW,CHARLES SCHWAB CORP,Financials,0.23673
99,CSX,CSX CORP,Industrials,0.2364
100,BSX,BOSTON SCIENTIFIC CORP,Health Care,0.23228
101,SYK,STRYKER CORP,Health Care,0.23122
102,DE,DEERE,Industrials,0.2281
103,BLK,BLACKROCK INC,Financials,0.22622
104,D,DOMINION ENERGY INC,Utilities,0.22281
105,OXY,OCCIDENTAL PETROLEUM CORP,Energy,0.22012
106,SO,SOUTHERN,Utilities,0.21463
107,CCI,CROWN CASTLE INTERNATIONAL REIT CO,Real Estate,0.21406
108,CELG,CELGENE CORP,Health Care,0.21292
109,ILMN,ILLUMINA INC,Health Care,0.20954
110,GM,GENERAL MOTORS,Consumer Discretionary,0.20854
111,GD,GENERAL DYNAMICS CORP,Industrials,0.20786
